Brand,Model,ISOFIX Base Required,ISOFIX Base,Type,Group,Child weight,Child Height,i-Size compliant,Swivel,Direction of travel,Forward facing,Rear-facing,Sideways,ISOFIX,Image URL,ERF,Advanced SIP,Travel system,Seat Weight [kg],Width [mm],Height [mm],Depth [mm],Angle,Mamas&Papas,UberKids,Amazon,Kiddies Kingdom,Manual,2nd Manual,3rd Manual,4th Manual,Video Instruction,2nd Video Instruction,Car Fitting List,ADAC Ranking,TCS Ranking,OAMTC Ranking,Which? Ranking,RRP,UK Availability,Price Range,Expiry [Years],Origin,Brand logo,Brand website,Awards,Fabrics,Patent claims,UV Canopy,Swedish Plus Test,Aircraft Approved
Axkid,Duofix Isofix,No,,Toddler/Child Car Seat,1/2,9 - 25 kgs,,No,No,Rear-facing & forward facing,Yes,Yes,No,Both,https://www.axkid.com/wp-content/uploads/2017/09/duofix-black.png?x82936,Yes,Yes,,14.6,,,,,,,,,https://www.axkid.com/wp-content/uploads/2014/08/Axkid_Duofix.pdf?x82936,,,,https://youtu.be/th_az-1evQU,,https://www.axkid.com/wp-content/uploads/2014/08/Vehicle-list_axkid-ISOFIX-belt-attachment-pdf.pdf?x82936,Sufficient,,,Don't Buy,0.00,No,Under 100,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,No,No
Axkid,Grow,No,,Child Car Seat,2/3,15 - 36 kgs,,No,No,Forward facing,Yes,No,No,No,https://www.axkid.com/wp-content/uploads/2017/09/grow_black_webb.png?x82936,No,No,,4.8,,,,,,,,,https://www.axkid.com/wp-content/uploads/2017/09/Axkid_Grow.pdf?x82936,,,,https://www.youtube.com/watch?v=MLU8WDoQinQ,,,,,,,0.00,No,Under 100,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,No,No
Axkid,Grow ISOFIX,No,,Child Car Seat,2/3,15 - 36 kgs,,No,No,Forward facing,Yes,No,No,Yes,https://www.axkid.com/wp-content/uploads/2017/09/Unknown.png?x82936,No,No,,5.9,,,,,,,,,https://www.axkid.com/wp-content/uploads/2017/04/Grow-Isofix.pdf?x82936,,,,https://www.youtube.com/watch?v=3s2qhimVdRs,,,,,,,149.00,No,Between 100 and 300,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,No,No
Axkid,Grow Pillow,No,,Child Car Seat,2/3,15 - 36 kgs,,No,No,Forward facing,Yes,No,No,No,https://www.axkid.com/wp-content/uploads/2017/09/mate_svart2.png?x82936,No,No,,1,,,,,,,,,https://www.axkid.com/wp-content/uploads/2014/09/Axkid_mate.pdf?x82936,,,,https://www.youtube.com/watch?v=-TtRFCiGnUQ,,,,,,,0.00,No,Under 100,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,No,No
Axkid,Kidzone,No,,Toddler/Child Car Seat,1/2,9 - 25 kgs,,No,No,Rear-facing & forward facing,Yes,Yes,No,No,https://www.axkid.com/wp-content/uploads/2014/09/Unknown-1.png?x82936,Yes,Yes,,13.7,,,,,,,,,https://www.axkid.com/wp-content/uploads/2014/09/Axkid_Kidzone.pdf?x82936,,,,https://youtu.be/rnguh3q5ulU,,https://www.axkid.com/wp-content/uploads/2014/09/Vehicle-list-belt-attachment.pdf?x82936,,,,,431.00,No,300 and up,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,No,No
Axkid,Minikid,No,,Infant/Toddler/Child Car Seat,0+/1/2,0 - 25 kgs,,No,No,Rear-facing,No,Yes,No,No,https://www.axkid.com/wp-content/uploads/2014/09/minikid-black-1.png?x82936,Yes,Yes,,11.1,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_Axkid_Minikid_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Faxkid-minikid-group-1-2-car-seat-1003050%2F,https://amzn.to/2SH5CiH,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Axkid_alll_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F40_axkid,https://www.axkid.com/wp-content/uploads/2014/09/Axkid_Minikid.pdf?x82936,,,,https://www.youtube.com/watch?time_continue=97&v=Fw-CK4uYbOk,,https://www.axkid.com/wp-content/uploads/2014/09/Vehicle-list-belt-attachment.pdf?x82936,,,,,350.00,Yes,300 and up,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,Yes,No
Axkid,Move,No,,Toddler/Child Car Seat,1/2,9 - 25 kgs,,No,No,Rear-facing,No,Yes,No,No,https://www.axkid.com/wp-content/uploads/2016/10/Unknown-1.png?x82936,Yes,Yes,,9.8,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_Axkid_Move_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Faxkid-move-group-1-2-car-seat-2003962%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Axkid_alll_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F40_axkid,https://www.axkid.com/wp-content/uploads/2016/10/Axkid-Move-Combined-Instructions.pdf?x82936,,,,,,https://www.axkid.com/wp-content/uploads/2014/09/Vehicle-list-belt-attachment.pdf?x82936,,,,,225.00,Yes,Between 100 and 300,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,Yes,No
Axkid,Rekid ISOFIX,No,,Toddler/Child Car Seat,1/2,9 - 25 kgs,,No,No,Rear-facing,No,Yes,No,Both,https://www.axkid.com/wp-content/uploads/2017/09/rekid-black.png?x82936,Yes,No,,14.1,,,,,,,,,https://www.axkid.com/wp-content/uploads/2015/02/Axkid_rekid.pdf?x82936,,,,https://www.youtube.com/watch?time_continue=114&v=uE2aWm0x5IM,,https://www.axkid.com/wp-content/uploads/2014/08/Vehicle-list_axkid-ISOFIX-belt-attachment-pdf.pdf?x82936,,,,,259.00,No,Between 100 and 300,,Sweden,https://s3.amazonaws.com/ctm-tm/017884097.JPG,,,,,No,Yes,No
Baby Jogger,City Go,No,,Infant Car Seat,0+,0 - 13 kgs,,No,No,Rear-facing,No,Yes,No,Both,http://babyjogger.co.uk/image/cache/data/products/carseats/City%20Go/City%20Go-560x560.jpg,No,No,,3.6,,,,,,,,,http://babyjogger.co.uk/docs/pdf8D8mOStm2q_1452677448.pdf,,,,http://babyjogger.co.uk/videos/city-go/video.mp4,,,,,,,170.00,No,Between 100 and 300,,UK,http://babyjogger.co.uk/image/awards/ftrdimghOjl5f_1382746415.jpg,,,,,No,No,No
Baby Jogger,City Go i-Size,No,,Infant Car Seat,0+,0 - 13 kgs,40 - 87 cm,Yes,No,Rear-facing,No,Yes,No,Both,http://babyjogger.co.uk/image/cache/data/products/carseats/citygoisize/Go%20isize-560x560.jpg,No,No,,,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_Babyjogger_CityGo_black&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fbaby-jogger-city-go-i-size-car-seat-bjr18-26-002%2F,,,http://babyjogger.co.uk/docs/pdfsjQFE_1512474469.pdf,,,,,,,,,,,215.00,Yes,Between 100 and 300,,UK,http://babyjogger.co.uk/image/awards/ftrdimghOjl5f_1382746415.jpg,,,,,50+ UPF,No,No
